,title,location1,location2,location3,area,orientation,room_type,price
5323,整租·金雁花园 2室2厅 东/西,城关区,万达大润发,金雁花园,82.00㎡,东 西,2室2厅1卫,2100
5324,整租·陇能家园B区 2室1厅 西北,城关区,黄河北,陇能家园B区,92.00㎡,西北,2室1厅1卫,2300
5325,整租·鼓楼巷住宅区 2室1厅 南/北,城关区,西关南关,鼓楼巷住宅区,71.21㎡,南 北,2室1厅1卫,2500
5326,整租·金运花园 2室2厅 南/北,城关区,万达大润发,金运花园,130.00㎡,南 北,2室2厅1卫,2500
5327,整租·城关区政府雁滩住宅小区 2室1厅 南/北,城关区,万达大润发,城关区政府雁滩住宅小区,110.00㎡,南 北,2室1厅1卫,2000
5328,整租·天庆花园 2室2厅 南/北,城关区,雁滩高新区,天庆花园,93.61㎡,南 北,2室2厅1卫,2100
5329,整租·元森北新时代（石榴园） 2室1厅 南,城关区,黄河北,元森北新时代（石榴园）,70.00㎡,南,2室1厅1卫,2200
5330,整租·人行兰州中心支行家属院(中林路) 2室1厅 南/北,城关区,西关南关,人行兰州中心支行家属院(中林路),80.00㎡,南 北,2室1厅1卫,2100
5331,整租·云府158 2室2厅 南/北,城关区,黄河北,云府158,120.00㎡,南 北,2室2厅1卫,2500
5332,整租·辰北花园 2室2厅 南/北,城关区,北面滩,辰北花园,91.00㎡,南 北,2室2厅1卫,2200
5333,整租·金雁花园 2室2厅 东/西,城关区,万达大润发,金雁花园,84.30㎡,东 西,2室2厅1卫,2500
5334,整租·兰州晟佳公司北家属院 2室2厅 南/北,城关区,火车站,兰州晟佳公司北家属院,78.50㎡,南 北,2室2厅1卫,2000
5335,整租·亚太嘉园 2室2厅 南,城关区,黄河北,亚太嘉园,98.00㎡,南,2室2厅1卫,2100
5336,整租·互助巷（甘南路/酒泉路） 2室0厅 东,城关区,西关南关,互助巷（甘南路/酒泉路）,31.68㎡,东,2室0厅1卫,2000
5337,整租·基业豪庭 2室2厅 西南,城关区,雁滩高新区,基业豪庭,91.38㎡,西南,2室2厅1卫,2200
5338,整租·徐家巷社区 2室2厅 南/北,城关区,五泉广场,徐家巷社区,95.00㎡,南 北,2室2厅1卫,2100
5339,整租·铁一院云祥小区 2室2厅 南/北,城关区,五泉广场,铁一院云祥小区,78.19㎡,南 北,2室2厅1卫,2200
5340,整租·三易旺族丽景 2室2厅 西南,城关区,北面滩,三易旺族丽景,96.00㎡,西南,2室2厅1卫,2100
